"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","Обновление поста @API","firefox","Wed Aug 06 01:55:25 GMT 2025","passed","Wed Aug 06 01:55:26 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Aug 06 01:56:31 GMT 2025","broken","Wed Aug 06 01:57:01 GMT 2025","UI Tests Academybug","","",""
"","30021","Ошибка публикации комментария к товару @BUG","firefox","Wed Aug 06 02:01:35 GMT 2025","broken","Wed Aug 06 02:02:05 GMT 2025","UI Tests Academybug","","",""
"","30017","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Aug 06 01:58:17 GMT 2025","broken","Wed Aug 06 01:58:47 GMT 2025","UI Tests Academybug","","",""
"","155","Получение списка постов @API","firefox","Wed Aug 06 01:55:25 GMT 2025","passed","Wed Aug 06 01:55:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","6741","Ошибка смены валюты @BUG","firefox","Wed Aug 06 01:58:48 GMT 2025","passed","Wed Aug 06 01:58:55 GMT 2025","UI Tests Academybug","","",""
"","97","Удаление поста @API","firefox","Wed Aug 06 01:55:26 GMT 2025","passed","Wed Aug 06 01:55:26 GMT 2025","API Tests Jsonplaceholder","","",""
"","10096","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Aug 06 01:57:03 GMT 2025","passed","Wed Aug 06 01:57:13 GMT 2025","UI Tests Academybug","","",""
"","4033","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Aug 06 02:02:06 GMT 2025","passed","Wed Aug 06 02:02:10 GMT 2025","UI Tests Academybug","","",""
"","30023","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Aug 06 02:03:14 GMT 2025","broken","Wed Aug 06 02:03:44 GMT 2025","UI Tests Academybug","","",""
"","33","Получение конкретного поста @API","firefox","Wed Aug 06 01:55:25 GMT 2025","passed","Wed Aug 06 01:55:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","30018","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Aug 06 01:59:59 GMT 2025","broken","Wed Aug 06 02:00:29 GMT 2025","UI Tests Academybug","","",""
"","100","Создание нового поста @API","firefox","Wed Aug 06 01:55:25 GMT 2025","passed","Wed Aug 06 01:55:25 GMT 2025","API Tests Jsonplaceholder","","",""
